sku,retail_price,purchase_price
BO.102.24.S,3000.0,
BOI.103.24.T,5000.0,
BO.102.26.S,3000.0,
BOI.103.26.T,5000.0,
BO.102.28.S,3000.0,
BOI.103.28.T,5000.0,
BO.102.30.S,3000.0,
BOI.103.30.T,5000.0,
BO.102.32.S,3000.0,
BOI.103.34.T,3500.0,
BO.102.36.S,3000.0,
BOI.103.36.T,3500.0,
BO.102.38.S,3000.0,
BOI.103.38.T,3500.0,
BO.102.40.S,3000.0,
BOI.103.40.T,3500.0,
BO.102.42.S,3000.0,
BOI.103.42.T,3500.0,
BO.102.44.S,3000.0,
BOI.103.44.T,3500.0,
BO.102.46.S,3000.0,
BOI.103.46.T,3500.0,
BO.102.48.S,3000.0,
BOI.103.48.T,3500.0,
BO.102.50.S,3000.0,
BOI.103.50.T,3500.0,
BOI.103.54.T,3500.0,
BOI.103.56.T,3500.0,
BO.102.58.S,3000.0,
BO.102.60.S,3000.0,
BOI.103.60.T,3500.0,
BO.103.34.S,1000.0,
BO.103.36.S,1000.0,
BO.103.38.S,1000.0,
BO.103.40.S,1000.0,
BO.103.42.S,3000.0,
BO.103.44.S,1000.0,
BO.103.46.S,1000.0,
BO.103.48.S,1000.0,
BOI.01.109.38.T,1000.0,
BOI.01.109.40.T,1000.0,
BOI.01.109.42.T,1000.0,
BOI.01.109.44.T,1000.0,
BOI.01.109.46.T,1000.0,
BOI.01.109.48.T,1000.0,
20323,180000.0,
20322,180000.0,
20321,180000.0,
20383,180000.0,
20382,180000.0,
20381,180000.0,
20384,180000.0,
20333,1000.0,
20332,1000.0,
20331,1000.0,
20334,1000.0,
20393,180000.0,
20392,180000.0,
20391,180000.0,
20394,180000.0,
DE-105,75000.0,
DE-106,75000.0,
DE-109,75000.0,
DE-210,75000.0,
DE-306,85000.0,
4804200001,1000.0,
3051020280,1000.0,
3051020300,1000.0,
3051030280,1000.0,
3051030300,1000.0,
3051010280,1000.0,
3051010300,1000.0,
3051020320,1000.0,
3051020340,1000.0,
3051020360,1000.0,
3051020380,1000.0,
3051020400,1000.0,
3051030320,1000.0,
3051030340,1000.0,
3051030360,1000.0,
3051030380,1000.0,
3051030400,1000.0,
3051010320,1000.0,
3051010340,1000.0,
3051010360,1000.0,
3051010380,1000.0,
3051010400,1000.0,
BO.163.L.11.S,1000.0,
BO.163.L.11.T,1000.0,
BO.163.R.11.S,1000.0,
BO.163.R.11.T,1000.0,
BO.163.L.13.S,1000.0,
BO.163.L.13.T,1000.0,
