"name","owner","creation","modified","modified_by","docstatus","idx","uom_name","enabled","must_be_whole_number","doctype"
"Kilohertz","Administrator","2026-04-19 23:12:13.142897","2026-04-19 23:12:13.142897","Administrator","0","0","Kilohertz","1","0","UOM"
"Kilojoule","Administrator","2026-04-19 23:12:13.148815","2026-04-19 23:12:13.148815","Administrator","0","0","Kilojoule","1","0","UOM"
"Kilometer","Administrator","2026-04-19 23:12:13.154429","2026-04-19 23:12:13.154429","Administrator","0","0","Kilometer","1","0","UOM"
"Kilometer/Hour","Administrator","2026-04-19 23:12:13.159598","2026-04-19 23:12:13.159598","Administrator","0","0","Kilometer/Hour","1","0","UOM"
"Kilopascal","Administrator","2026-04-19 23:12:13.164605","2026-04-19 23:12:13.164605","Administrator","0","0","Kilopascal","1","0","UOM"
"Kilopond","Administrator","2026-04-19 23:12:13.170401","2026-04-19 23:12:13.170401","Administrator","0","0","Kilopond","1","0","UOM"
"Kilopound-Force","Administrator","2026-04-19 23:12:13.174864","2026-04-19 23:12:13.174864","Administrator","0","0","Kilopound-Force","1","0","UOM"
"Kilowatt","Administrator","2026-04-19 23:12:13.179780","2026-04-19 23:12:13.179780","Administrator","0","0","Kilowatt","1","0","UOM"
"Kilowatt-Hour","Administrator","2026-04-19 23:12:13.184623","2026-04-19 23:12:13.184623","Administrator","0","0","Kilowatt-Hour","1","0","UOM"
"Kip","Administrator","2026-04-19 23:12:13.191276","2026-04-19 23:12:13.191276","Administrator","0","0","Kip","1","0","UOM"
"Knot","Administrator","2026-04-19 23:12:13.199733","2026-04-19 23:12:13.199733","Administrator","0","0","Knot","1","0","UOM"
"Link","Administrator","2026-04-19 23:12:13.206012","2026-04-19 23:12:13.206012","Administrator","0","0","Link","1","0","UOM"
"Litre","Administrator","2026-04-19 23:12:13.212212","2026-04-19 23:12:13.212212","Administrator","0","0","Litre","1","0","UOM"
"Litre-Atmosphere","Administrator","2026-04-19 23:12:13.218556","2026-04-19 23:12:13.218556","Administrator","0","0","Litre-Atmosphere","1","0","UOM"
"Megacoulomb","Administrator","2026-04-19 23:12:13.223646","2026-04-19 23:12:13.223646","Administrator","0","0","Megacoulomb","1","0","UOM"
"Megagram/Litre","Administrator","2026-04-19 23:12:13.233814","2026-04-19 23:12:13.233814","Administrator","0","0","Megagram/Litre","1","0","UOM"
"Megahertz","Administrator","2026-04-19 23:12:13.237472","2026-04-19 23:12:13.237472","Administrator","0","0","Megahertz","1","0","UOM"
"Megajoule","Administrator","2026-04-19 23:12:13.240532","2026-04-19 23:12:13.240532","Administrator","0","0","Megajoule","1","0","UOM"
"Megawatt","Administrator","2026-04-19 23:12:13.244313","2026-04-19 23:12:13.244313","Administrator","0","0","Megawatt","1","0","UOM"
"Meter","Administrator","2026-04-19 23:12:13.253296","2026-04-19 23:12:13.253296","Administrator","0","0","Meter","1","0","UOM"
"Meter Of Water","Administrator","2026-04-19 23:12:13.260636","2026-04-19 23:12:13.260636","Administrator","0","0","Meter Of Water","1","0","UOM"
"Meter/Second","Administrator","2026-04-19 23:12:13.279931","2026-04-19 23:12:13.279931","Administrator","0","0","Meter/Second","1","0","UOM"
"Microbar","Administrator","2026-04-19 23:12:13.285334","2026-04-19 23:12:13.285334","Administrator","0","0","Microbar","1","0","UOM"
"Microgram","Administrator","2026-04-19 23:12:13.289284","2026-04-19 23:12:13.289284","Administrator","0","0","Microgram","1","0","UOM"
"Microgram/Litre","Administrator","2026-04-19 23:12:13.292764","2026-04-19 23:12:13.292764","Administrator","0","0","Microgram/Litre","1","0","UOM"
"Micrometer","Administrator","2026-04-19 23:12:13.296011","2026-04-19 23:12:13.296011","Administrator","0","0","Micrometer","1","0","UOM"
"Microsecond","Administrator","2026-04-19 23:12:13.298802","2026-04-19 23:12:13.298802","Administrator","0","0","Microsecond","1","0","UOM"
"Mile","Administrator","2026-04-19 23:12:13.301677","2026-04-19 23:12:13.301677","Administrator","0","0","Mile","1","0","UOM"
"Mile (Nautical)","Administrator","2026-04-19 23:12:13.305706","2026-04-19 23:12:13.305706","Administrator","0","0","Mile (Nautical)","1","0","UOM"
"Mile/Hour","Administrator","2026-04-19 23:12:13.310591","2026-04-19 23:12:13.310591","Administrator","0","0","Mile/Hour","1","0","UOM"
"Mile/Minute","Administrator","2026-04-19 23:12:13.314450","2026-04-19 23:12:13.314450","Administrator","0","0","Mile/Minute","1","0","UOM"
"Mile/Second","Administrator","2026-04-19 23:12:13.318927","2026-04-19 23:12:13.318927","Administrator","0","0","Mile/Second","1","0","UOM"
"Milibar","Administrator","2026-04-19 23:12:13.327047","2026-04-19 23:12:13.327047","Administrator","0","0","Milibar","1","0","UOM"
"Milliampere","Administrator","2026-04-19 23:12:13.333038","2026-04-19 23:12:13.333038","Administrator","0","0","Milliampere","1","0","UOM"
"Millicoulomb","Administrator","2026-04-19 23:12:13.338088","2026-04-19 23:12:13.338088","Administrator","0","0","Millicoulomb","1","0","UOM"
"Milligram","Administrator","2026-04-19 23:12:13.340770","2026-04-19 23:12:13.340770","Administrator","0","0","Milligram","1","0","UOM"
"Milligram/Cubic Centimeter","Administrator","2026-04-19 23:12:13.342714","2026-04-19 23:12:13.342714","Administrator","0","0","Milligram/Cubic Centimeter","1","0","UOM"
"Milligram/Cubic Meter","Administrator","2026-04-19 23:12:13.344675","2026-04-19 23:12:13.344675","Administrator","0","0","Milligram/Cubic Meter","1","0","UOM"
"Milligram/Cubic Millimeter","Administrator","2026-04-19 23:12:13.348126","2026-04-19 23:12:13.348126","Administrator","0","0","Milligram/Cubic Millimeter","1","0","UOM"
"Milligram/Litre","Administrator","2026-04-19 23:12:13.350658","2026-04-19 23:12:13.350658","Administrator","0","0","Milligram/Litre","1","0","UOM"
"Millihertz","Administrator","2026-04-19 23:12:13.353714","2026-04-19 23:12:13.353714","Administrator","0","0","Millihertz","1","0","UOM"
"Millilitre","Administrator","2026-04-19 23:12:13.358726","2026-04-19 23:12:13.358726","Administrator","0","0","Millilitre","1","0","UOM"
"Millimeter","Administrator","2026-04-19 23:12:13.361767","2026-04-19 23:12:13.361767","Administrator","0","0","Millimeter","1","0","UOM"
"Millimeter Of Mercury","Administrator","2026-04-19 23:12:13.365159","2026-04-19 23:12:13.365159","Administrator","0","0","Millimeter Of Mercury","1","0","UOM"
"Millimeter Of Water","Administrator","2026-04-19 23:12:13.368868","2026-04-19 23:12:13.368868","Administrator","0","0","Millimeter Of Water","1","0","UOM"
"Millisecond","Administrator","2026-04-19 23:12:13.371836","2026-04-19 23:12:13.371836","Administrator","0","0","Millisecond","1","0","UOM"
"Minute","Administrator","2026-04-19 23:12:13.374827","2026-04-19 23:12:13.374827","Administrator","0","0","Minute","1","0","UOM"
"Nanocoulomb","Administrator","2026-04-19 23:12:13.379818","2026-04-19 23:12:13.379818","Administrator","0","0","Nanocoulomb","1","0","UOM"
